title,channel,views,likes,comments,publish_date,trending_date
Bhad Bhabie - Ms. Whitman (Official Music Video),Bhad Bhabie,13457230,682541,41332,2025-02-25 05:00:53+00:00,2025-03-10 21:15:00.864018
JENNIE - like JENNIE (Official Video),JennieRubyJaneVEVO,19574851,1643587,97766,2025-03-07 05:00:06+00:00,2025-03-10 21:15:00.866380
Doechii - Anxiety (Visualizer),IamdoechiiVEVO,7315086,401594,11253,2025-03-05 00:00:27+00:00,2025-03-10 21:15:00.866470
"Fridayy, Meek Mill - Proud Of Me",FridayyVEVO,5001961,143923,9617,2025-02-28 17:00:03+00:00,2025-03-10 21:15:00.866490
Dolly Parton - If You Hadn’t Been There (Official Audio),Dolly Parton,1881620,49270,3413,2025-03-07 13:55:33+00:00,2025-03-10 21:15:00.866507
Tattoo - Tito Double P (Video Oficial),Tito Double P,12842877,159796,5260,2025-02-28 02:02:26+00:00,2025-03-10 21:15:00.866540
BigXthaPlug - 2AM (Official Music Video),BigXthaPlug,2523660,75209,2666,2025-02-28 18:00:06+00:00,2025-03-10 21:15:00.866557
Grupo Marca Registrada x Víctor Valverde - El Mayor de los Ranas [En Vivo],RB Music,9196134,72671,1001,2025-02-28 00:00:31+00:00,2025-03-10 21:15:00.866572
Die With A Smile,Lady Gaga - Topic,1888276,24967,169,2025-03-06 10:04:55+00:00,2025-03-10 21:15:00.866586
j-hope ‘Sweet Dreams (feat. Miguel)’ Official MV,HYBE LABELS,7312801,1164484,112967,2025-03-07 04:59:06+00:00,2025-03-10 21:15:00.866603
Ghost - Satanized (Official Music Video),Ghost,3077583,152192,12458,2025-03-05 05:00:07+00:00,2025-03-10 21:15:00.866617
La Carpintera - Dany Ome & Kevincito el 13 (video Official),Dany Ome & Kevincito El 13 ,1652050,26495,1967,2025-03-01 20:00:07+00:00,2025-03-10 21:15:00.866632
YoungBoy Never Broke Again - 5 Night [Official Video],YoungBoy Never Broke Again,2227552,105310,8109,2025-02-28 06:32:53+00:00,2025-03-10 21:15:00.866655
GELO - Can You Please (Lyric Video) ft. GloRilla,GELOVEVO,807838,56968,5161,2025-03-07 05:00:05+00:00,2025-03-10 21:15:00.866670
YAILIN LA MAS VIRAL x DJ ADONI - Yo No Olvido (Video Oficial),Yailin La Mas Viral,3903581,139484,17877,2025-03-03 16:00:06+00:00,2025-03-10 21:15:00.866685
YoungBoy Never Broke Again -  Trapped Out [Official Video],YoungBoy Never Broke Again,672038,43135,2457,2025-03-07 06:53:23+00:00,2025-03-10 21:15:00.866699
G Herbo - Traffic (Official Video),G Herbo,1642218,44994,1740,2025-02-28 00:00:07+00:00,2025-03-10 21:15:00.866713
Kevin Gates - Big Bruddah (Don't Be Mad) (Official Music Video),kevingatesTV,804383,36918,1673,2025-03-05 05:00:07+00:00,2025-03-10 21:15:00.866728
Mario Judah - Love You Anymore [Official Music Video],Mario Judah,1438927,93872,9560,2025-03-03 22:04:18+00:00,2025-03-10 21:15:00.866742
Beéle - sobelove (Video Oficial),BeeleVEVO,2011725,72599,2294,2025-03-07 00:00:06+00:00,2025-03-10 21:15:00.866764
Future - LIL DEMON (Official Music Video),FutureVEVO,1903161,77800,3064,2025-02-28 20:00:04+00:00,2025-03-10 21:15:00.866780
Hurricane Wisdom ft. Raq Baby - On God (Official Music Video),Hurricane Wisdom,901077,20216,369,2025-02-28 19:00:07+00:00,2025-03-10 21:15:00.866795
Gabito Ballesteros - Perdido (Video Oficial),Gabito Ballesteros,1164412,44015,1165,2025-03-07 00:00:07+00:00,2025-03-10 21:15:00.866809
Garden Of Eden,Lady Gaga - Topic,1046552,35307,1815,2025-03-06 10:04:23+00:00,2025-03-10 21:15:00.866823
"Jombriel, DFZM - Vitamina (Video Oficial)",Jombriel,15204053,318489,14646,2025-02-28 00:00:07+00:00,2025-03-10 21:15:00.866837
Tweaker (Remix),GELO - Topic,561806,10205,450,2025-03-02 10:01:20+00:00,2025-03-10 21:15:00.866852
Lady Gaga - Abracadabra (Saturday Night Live/2025),LadyGagaVEVO,1822159,139918,6956,2025-03-09 08:48:52+00:00,2025-03-10 21:15:00.866866
Don Toliver - No Pole [Official Music Video],Don Toliver,2363365,118248,2474,2025-03-03 18:00:12+00:00,2025-03-10 21:15:00.866880
Raq baby - Belt Boyz | From The Block Performance 🎙,4 Shooters Only,414020,14910,387,2025-03-04 21:57:00+00:00,2025-03-10 21:15:00.866895
House Again,Hudson Westbrook - Topic,322250,5043,35,2025-02-21 01:23:31+00:00,2025-03-10 21:15:00.866909
