title,channel,views,likes,comments,publish_date,trending_date
Bhad Bhabie - Ms. Whitman (Official Music Video),Bhad Bhabie,13457230,682541,41332,2025-02-25T05:00:53Z,2025-03-10 21:15:00.864018
JENNIE - like JENNIE (Official Video),JennieRubyJaneVEVO,19574851,1643587,97766,2025-03-07T05:00:06Z,2025-03-10 21:15:00.866380
Doechii - Anxiety (Visualizer),IamdoechiiVEVO,7315086,401594,11253,2025-03-05T00:00:27Z,2025-03-10 21:15:00.866470
"Fridayy, Meek Mill - Proud Of Me",FridayyVEVO,5001961,143923,9617,2025-02-28T17:00:03Z,2025-03-10 21:15:00.866490
Dolly Parton - If You Hadn’t Been There (Official Audio),Dolly Parton,1881620,49270,3413,2025-03-07T13:55:33Z,2025-03-10 21:15:00.866507
Tattoo - Tito Double P (Video Oficial),Tito Double P,12842877,159796,5260,2025-02-28T02:02:26Z,2025-03-10 21:15:00.866540
BigXthaPlug - 2AM (Official Music Video),BigXthaPlug,2523660,75209,2666,2025-02-28T18:00:06Z,2025-03-10 21:15:00.866557
Grupo Marca Registrada x Víctor Valverde - El Mayor de los Ranas [En Vivo],RB Music,9196134,72671,1001,2025-02-28T00:00:31Z,2025-03-10 21:15:00.866572
Die With A Smile,Lady Gaga - Topic,1888276,24967,169,2025-03-06T10:04:55Z,2025-03-10 21:15:00.866586
j-hope ‘Sweet Dreams (feat. Miguel)’ Official MV,HYBE LABELS,7312801,1164484,112967,2025-03-07T04:59:06Z,2025-03-10 21:15:00.866603
Ghost - Satanized (Official Music Video),Ghost,3077583,152192,12458,2025-03-05T05:00:07Z,2025-03-10 21:15:00.866617
La Carpintera - Dany Ome & Kevincito el 13 (video Official),Dany Ome & Kevincito El 13 ,1652050,26495,1967,2025-03-01T20:00:07Z,2025-03-10 21:15:00.866632
YoungBoy Never Broke Again - 5 Night [Official Video],YoungBoy Never Broke Again,2227552,105310,8109,2025-02-28T06:32:53Z,2025-03-10 21:15:00.866655
GELO - Can You Please (Lyric Video) ft. GloRilla,GELOVEVO,807838,56968,5161,2025-03-07T05:00:05Z,2025-03-10 21:15:00.866670
YAILIN LA MAS VIRAL x DJ ADONI - Yo No Olvido (Video Oficial),Yailin La Mas Viral,3903581,139484,17877,2025-03-03T16:00:06Z,2025-03-10 21:15:00.866685
YoungBoy Never Broke Again -  Trapped Out [Official Video],YoungBoy Never Broke Again,672038,43135,2457,2025-03-07T06:53:23Z,2025-03-10 21:15:00.866699
G Herbo - Traffic (Official Video),G Herbo,1642218,44994,1740,2025-02-28T00:00:07Z,2025-03-10 21:15:00.866713
Kevin Gates - Big Bruddah (Don't Be Mad) (Official Music Video),kevingatesTV,804383,36918,1673,2025-03-05T05:00:07Z,2025-03-10 21:15:00.866728
Mario Judah - Love You Anymore [Official Music Video],Mario Judah,1438927,93872,9560,2025-03-03T22:04:18Z,2025-03-10 21:15:00.866742
Beéle - sobelove (Video Oficial),BeeleVEVO,2011725,72599,2294,2025-03-07T00:00:06Z,2025-03-10 21:15:00.866764
Future - LIL DEMON (Official Music Video),FutureVEVO,1903161,77800,3064,2025-02-28T20:00:04Z,2025-03-10 21:15:00.866780
Hurricane Wisdom ft. Raq Baby - On God (Official Music Video),Hurricane Wisdom,901077,20216,369,2025-02-28T19:00:07Z,2025-03-10 21:15:00.866795
Gabito Ballesteros - Perdido (Video Oficial),Gabito Ballesteros,1164412,44015,1165,2025-03-07T00:00:07Z,2025-03-10 21:15:00.866809
Garden Of Eden,Lady Gaga - Topic,1046552,35307,1815,2025-03-06T10:04:23Z,2025-03-10 21:15:00.866823
"Jombriel, DFZM - Vitamina (Video Oficial)",Jombriel,15204053,318489,14646,2025-02-28T00:00:07Z,2025-03-10 21:15:00.866837
Tweaker (Remix),GELO - Topic,561806,10205,450,2025-03-02T10:01:20Z,2025-03-10 21:15:00.866852
Lady Gaga - Abracadabra (Saturday Night Live/2025),LadyGagaVEVO,1822159,139918,6956,2025-03-09T08:48:52Z,2025-03-10 21:15:00.866866
Don Toliver - No Pole [Official Music Video],Don Toliver,2363365,118248,2474,2025-03-03T18:00:12Z,2025-03-10 21:15:00.866880
Raq baby - Belt Boyz | From The Block Performance 🎙,4 Shooters Only,414020,14910,387,2025-03-04T21:57:00Z,2025-03-10 21:15:00.866895
House Again,Hudson Westbrook - Topic,322250,5043,35,2025-02-21T01:23:31Z,2025-03-10 21:15:00.866909
